fit_tier,fit_score,name,city,state,category,relationship,website,fit_reasoning,gear_mentioned
"HOT",98,"Midwest Audio Group","","","av_rental","new_prospect",https://www.midwestaudiogroup.com/,"Midwest Audio Group is an exceptionally strong prospect due to its local presence, large-scale event production, and extensive inventory of high-end gear that perfectly aligns with Eric's A1 and RF co",""
"HOT",98,"Careers","","","av_rental","new_prospect",https://avchicago.com/careers/,"AV Chicago is an excellent prospect for Eric, offering a perfect alignment in company type, event scale, work type, and gear, with a strong need for his high-level A1 and RF coordination expertise in ",""
"HOT",98,"Encore®","","","production_co","new_prospect",https://www.encoreglobal.com/,"Encore is an ideal target client for Eric Weiss, offering abundant opportunities for high-level A1 and RF coordination roles on large-scale corporate events, both locally in Chicago and nationally.",""
"HOT",95,"Chicago Audio Visual Production Services","","","production_co","new_prospect",https://www.onservices.com/locations/chicago-av-production.html,"ON Services is an excellent prospect for Eric, offering substantial opportunities for high-level A1 and RF coordination roles on large-scale corporate events, aligning perfectly with his skills, exper",""
"HOT",95,"Chicago Illinois","","","av_rental","new_prospect",https://www.seamlessevents.com/chicago/,"Excellent fit for Eric's high-end corporate A1 and RF coordination skills with a national AV production company based locally in Chicago.",""
"HOT",95,"Midwest Music Supply","","","av_rental","new_prospect",https://www.midwestmusicsupply.com/,"Midwest Music Supply is an excellent prospect for Eric, offering strong alignment in location, event types, and high-end audio gear, making them an ideal client for his A1 and RF coordination expertis",""
"HOT",95,"Audio-Visions","","","av_rental","new_prospect",https://audio-visions.com/,"Audio-Visions is a Chicago-based full-service AV production and rental company with an inventory and client base that perfectly aligns with Eric's high-level A1 and RF coordination expertise across co",""
"HOT",95,"Audio Services","","","av_rental","new_prospect",https://vantagepg.com/corporate-av/audio/,"Excellent fit for Eric's A1 and RF coordination skills, with strong geographic alignment (Chicago office) and direct overlap with their listed L'Acoustics and Shure Axient Digital gear.",""
"HOT",95,"Chicago Live Sound","","","production_co","new_prospect",https://chicagolivesound.com/,"Chicago Live Sound is a local, full-service production company with an excellent gear overlap and event scale that perfectly matches Eric's A1 and RF coordination expertise, making them a top-tier fre",""
"HOT",95,"Contact","","","production_co","new_prospect",https://mdmentertainment.com/contact/,"MDM Entertainment is a Chicago-based full-service production company with an excellent gear and work-type alignment, making them a hot prospect for Eric's A1 and RF coordination expertise.",""
"HOT",95,"Audio Visual Productions","","","production_co","new_prospect",https://www.avproductions.com/,"Audio Visual Productions is a New York-based production company that aligns perfectly with Eric's high-level A1 and RF coordination expertise for large-scale corporate and live events, offering strong",""
"HOT",95,"Corporate & Event Production Chicago","","","production_co","new_prospect",https://midwestav.com/production/,"Midwest AV is an excellent potential freelance client for Eric, offering a strong geographic fit, event scale, and work-type alignment across corporate, concert, and RF coordination roles.",""
"HOT",95,"Full-Service Festival & Touring Production","","","production_co","new_prospect",https://clearwing.com/production-festivals-touring,"Clearwing is an excellent prospect for Eric, offering large-scale festival, touring, and corporate work that perfectly matches his A1 and RF coordination expertise with strong gear alignment, despite ",""
"HOT",95,"About Us","","","production_co","new_prospect",https://encountereventservices.com/about/,"Encounter Event Services is a Chicago-based full-service production company with an excellent gear overlap and a strong focus on corporate events, making them a prime target for Eric Weiss's A1 and RF",""
"HOT",95,"Chicago AV Rental","","","venue","new_prospect",https://www.cti.com/chicago-live-events/,"CTI (Creative Technology International) is a global leader in AV production with a strong Chicago presence, making them an excellent fit for Eric's high-level A1 and RF coordination expertise on large",""
"HOT",92,"Frost Chicago","","","av_rental","new_prospect",https://www.frostchicago.com/,"Frost Chicago is a high-end, Chicago-based AV production company that is an excellent fit for Eric's A1 and RF coordination expertise on large-scale corporate and event productions, with strong potent",""
"HOT",92,"KLA Chicago","","","production_co","new_prospect",https://klachicago.com/,"KLA Chicago is an excellent new prospect, aligning perfectly with Eric's A1 and RF coordination expertise for high-stakes corporate AV events in his home market.",""
"HOT",92,"Sheraton Grand Chicago Riverwalk","","","venue","new_prospect",https://www.cvent.com/venues/chicago/hotel/sheraton-grand-chicago-riverwalk/venue-aa75771c-68ff-466b-a766-70d4c744acbe,"The Sheraton Grand Chicago Riverwalk is an ideal prospect for Eric, offering high-stakes corporate AV and multi-room hotel events perfectly aligned with his A1 and RF coordination expertise.",""
"HOT",90,"Chicago, IL: Audio Visual Labor & Crews","Chicago","IL","av_rental","new_prospect",https://www.avleads.com/services/chicago/,"This is an excellent prospect for Eric, as they are a Chicago-based AV labor staffing company explicitly seeking A1 Audio Engineers and RF Coordinators for a wide range of events, aligning perfectly w",""
"HOT",90,"Vantage Production Group","","","av_rental","new_prospect",https://vantagepg.com/,"Vantage Production Group is a full-service production company with excellent gear alignment and event scale/type matching Eric's A1 and RF coordination expertise, making them a strong freelance prospe",""
"HOT",90,"Midwest AV: Audio Visual Services in Chicago","","","av_rental","new_prospect",https://midwestav.com/,"Midwest AV is an excellent prospect for Eric, offering a perfect alignment in service type (corporate, live events, rental), geographic location, and scale of work, with Eric's skills directly address",""
"HOT",90,"Event Technology & Audio Visual Rentals in Chicago","","","av_rental","new_prospect",https://thesmartsource.com/locations/chicago/,"The Smart Source is an excellent potential freelance client for Eric, offering a strong geographic fit, diverse work types (corporate, meetings, concerts/festivals), and a need for his high-level A1 a",""
"HOT",90,"Chicago Audio Visual Services","","","production_co","new_prospect",https://alliantevents.com/av-chicago/,"Alliant Events (operating as Chicago Audio Visual Services) is a Chicago-based full-service production company with a strong focus on corporate events, making them an excellent match for Eric's high-l",""
"HOT",90,"Enhance Productions: Corporate Event Production Chicago","","","production_co","new_prospect",https://www.enhanceproductions.com/,"Enhance Productions is a Chicago-based corporate event production company whose scale and type of events are an excellent match for Eric's high-end corporate AV and RF coordination expertise.",""
"HOT",90,"#1 Event Production Company Chicago","","","production_co","new_prospect",https://www.absolutepros.com/,"This Chicago-based full-service production company is an excellent prospect for Eric, aligning perfectly with his high-level A1 and RF coordination expertise for corporate and large-scale events.",""
"HOT",90,"Hyatt Regency Chicago Regency Ballroom AV Services","","","venue","new_prospect",https://www.peakt.com/venues/hyatt-regency-chicago---regency-ballroom,"This is an excellent local prospect for Eric, offering consistent corporate AV work at a major Chicago hotel, aligning perfectly with his A1 and RF coordination expertise.",""
"HOT",90,"Audio Visual Event Needs","","","venue","new_prospect",https://www.palmerhousehiltonhotel.com/meetings-events/tools/services/audiovisual/,"This is an excellent prospect for Eric, offering local, high-end corporate AV and RF coordination work at a major Chicago hotel, perfectly aligning with his A1 expertise and client-facing skills.",""
"HOT",90,"Event Production Company in Chicago, IL","Chicago","IL","production_co","new_prospect",https://ovationevents.com/event-production-company-chicago-il/,"Ovation Events is an excellent potential freelance client for Eric, offering local, high-caliber corporate AV work that perfectly aligns with his A1 and RF coordination expertise and experience with h",""
"WARM",88,"Audio Visual Services","","","venue","new_prospect",https://www.hiltonchicagomeetings.com/tools/services/audio-visual-services/,"An excellent fit for Eric's high-level corporate AV and specialized RF coordination expertise, particularly given his experience managing complex multi-room hotel deployments and high-stakes events.",""
"WARM",85,"Event & Meeting Spaces","","","venue","new_prospect",https://www.marriott.com/en-us/hotels/chidt-chicago-marriott-downtown-magnificent-mile/events/,"Excellent fit for corporate AV and multi-room RF coordination in Eric's home city, likely through existing production company relationships or as a direct specialized hire.",""
"WARM",80,"Chicago's Top Audio Visual Company","","","av_rental","new_prospect",https://avchicago.com/,"A promising new prospect for freelance A1 and RF Coordinator work in Eric's home market, likely offering relevant event scales and requiring his high-level expertise, despite a lack of specific compan",""
"WARM",80,"Chicago Corporate AV and Event Production","","","production_co","new_prospect",https://meetingtomorrow.com/chicago/event-productions/,"A strong prospect for Eric, offering local Chicago corporate AV work and potential national travel, leveraging his A1 mixing, advanced RF coordination, and high-stakes corporate experience, though the",""
"WARM",75,"Concert/Sound Production Services","","","production_co","new_prospect",https://vantagepg.com/concert-sound-production-services/,"Vantage Point Global is a full-service national production company based in Orlando, FL, making them a strong fit for Eric's high-level A1 and RF coordination skills for travel-based corporate and lar",""
"WARM",75,"Services & Amenities","","","venue","new_prospect",https://www.loewshotels.com/chicago-downtown/discover/services-amenities,"A high-end downtown Chicago hotel is an excellent local target for corporate AV work, especially given Eric's extensive experience with multi-room RF coordination and high-stakes corporate events, eve",""
"WARM",75,"Downtown Chicago Event Space","","","venue","new_prospect",https://thewithotel.com/meetings-and-events/,"This downtown Chicago hotel venue is an excellent geographic fit for Eric's high-end corporate AV and RF coordination skills, despite its smaller event scale compared to his largest gigs, offering val",""
"WARM",70,"Midwest Sound & Lighting","","","av_rental","new_prospect",https://mwsound.com/,"A regional AV rental company in Bloomington, IL, offering a strong work-type fit for Eric's A1 and RF coordination skills, but requires further investigation into their specific event scale and gear i",""
"WARM",70,"Sight & Sound Productions, Inc.","","","av_rental","new_prospect",https://sightandsoundproductionsinc.com/,"Sight & Sound Productions is an excellent technical and work-type fit for Eric's A1 and RF coordination skills, but their Jacksonville, FL location will likely limit the frequency of freelance opportu",""
"WARM",70,"MDM Chicago Event Production","","","production_co","new_prospect",https://mdmentertainment.com/,"MDM Chicago is a local production company doing the right *types* of events (corporate, festivals) for Eric's skills, but the *consistent scale* of their work and specific gear used are unclear.",""
"WARM",70,"Corporate Event AV","","","production_co","new_prospect",https://mdmentertainment.com/corporate-event-production-services/corporate-event-av/,"A local Chicago-area production company with a strong corporate AV focus that aligns well with Eric's experience, particularly his high-stakes corporate and RF coordination expertise, though the typic",""
"WARM",65,"Chicago Audio Visual Rentals","","","av_rental","new_prospect",https://meetingtomorrow.com/chicago/audio-visual-rentals/,"Chicago Audio Visual Rentals is a local AV rental and event production company that hires A1s and claims to handle large-scale events, making them a potential freelance client. However, the lack of sp",""
"WARM",65,"AV LABOR & EVENT CREWS IN Chicago","","","av_rental","new_prospect",https://livetenmedia.com/chicago-1,"A local Chicago AV labor provider that could offer freelance opportunities, but the lack of information makes it difficult to assess if they consistently staff high-level A1 roles commensurate with Er",""
