score,verdict,title,company,location,tier,salary,source,url,reasoning,date_posted
0,"","Nike Retail Associate (Athlete) - Contrato a media jornada 16H - Nike Store Madrid Getafe","Nike","","Tier 1 — Prior Client","",career_page,https://careers.nike.com/nike-retail-associate-athlete-contrato-a-media-jornada-16h-nike-store-madrid-getafe/job/R-83646,"",""
0,"","Index Production Analyst - Fixed Income","Bloomberg","","Tier 2 — Finance","",career_page,https://bloomberg.avature.net/careers/JobDetail/Index-Production-Analyst-Fixed-Income/19536,"",""
0,"","Freelance Audio Technician & Production Assistant","Sound Off","Chicago, Illinois","","$28 - $33 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=551d2097503489b2,"","2026-05-06"
0,"","Sound Engineer","1002studios","Chicago, Illinois","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=504eabc4e8e3dd51,"","2026-05-06"
0,"","Sound and Video Technician","Sound of Music","Chicago, Illinois","","$25 - $30 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=f2f77bba939e5194,"","2026-05-05"
0,"","DJ Assistant","Cassius D Leon LLC","Chicago, Illinois","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=98a319d3a36aa4c4,"","2026-05-05"
0,"","Event Technician, Audio Visual (Part Time) - Royal Sonesta Downtown Riverwalk","Encore Global","Chicago, Illinois","","$15 - $20 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=415a8a63bea1b961,"","2026-05-04"
0,"","Event Technician, Audio Visual - Marriot Marquis Chicago","Encore Global","Chicago, Illinois","","$15 - $20 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=ec96888beb3a5188,"","2026-05-01"
0,"","Event Sr. Technical Lead, Audio Visual - Loews Chicago O'Hare","Encore Global","Chicago, Illinois","","$18 - $24 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=47b5a713df58dcd7,"","2026-05-01"
0,"","Assistant Audio Engineer","Broadcast Management Group","Chicago, Illinois","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=fff672f49d6e73d9,"","2026-05-01"
0,"","Associate AV Field Engineer","Diversified","Chicago, Illinois","","$32 - $40 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=6631f1fca2a1501f,"","2026-04-30"
0,"","Audio Visual Lead Install Technician","JVN Systems","New York, New York","","$35 - $50 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=402e2aa491eb0903,"","2026-05-06"
0,"","Project Employee, Broadcast Support Engineer","National Basketball Association","New York, New York","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=2f22929cbce69d39,"","2026-05-06"
0,"","Broadcast Engineer","New York Public Radio","New York, New York","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=9429ef89e922e461,"","2026-05-06"
0,"","Corporate AV Technician, Meetings & Events","Convene","New York, New York","","$70,000 - $75,000 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=c0242395ee0bd098,"","2026-05-06"
0,"","Senior Firmware Engineer - Streaming Audio","Crestron Electronics","New York, New York","","$107,500 - $173,500 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=5b5c9732c1ca4415,"","2026-05-05"
0,"","Low Voltage Audio/Video and Security Technician Needed","Amp You Up","New York, New York","","$25 - $40 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=ebf4a97f7f11135e,"","2026-05-05"
0,"","LEAD AV TECHNICIAN- COMMERCIAL AUDIO VISUAL TECHNICIAN- FIELD TEAM LEADER","nan","New York, New York","","$39 - $49 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=8e0effc67d317470,"","2026-05-04"
0,"","Podcast Audio /Video Engineer","Launch Pod Studio LLC","New York, New York","","$25 - $28 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=92c28f8784650cd9,"","2026-05-01"
0,"","Event Technician","Xtreme Event Group","New York, New York","","$19 - $24 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=0a53a72d5b50c4b6,"","2026-05-01"
0,"","Event Production Staff","Xtreme Event Group","New York, New York","","$19 - $24 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=b230aeaf53321f2d,"","2026-05-01"
0,"","Freelance Audio Visual Technician","A-V SERVICES INC.","New York, New York","","",jobspy_indeed,https://www.indeed.com/viewjob?jk=baa744cfe8415c3d,"","2026-05-01"
0,"","Operations Manager, Audio Visual - The Sheraton New York Times Square","Encore Global","New York, New York","","$66,300 - $75,000 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=cbcc9feafe90115f,"","2026-04-30"
0,"","Supervisor, Audio","Horizon Media, Inc.","New York, New York","","$80,000 - $95,000 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=30e1cfa65100f8db,"","2026-04-30"
0,"","Lead AV Technician","Mason Technologies Inc","New York, New York","","$35 - $45 (hourly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=7552c25bf47a26fb,"","2026-04-30"
